i,name,description
1,Goldenes Morgenbrötchen,"Beginnen Sie Ihren Tag mit einem Biss in unser ""Goldenes Morgenbrötchen"" und erleben Sie den Zauber des Morgens! Mit seiner goldenen Kruste und dem himmlisch weichen Inneren bringt es Sonnenschein in jeden Frühstückstisch. Gönnen Sie sich dieses strahlende Meisterwerk und lassen Sie Ihren Morgen goldig und unvergesslich beginnen!"
2,Uriges Roggenkrüstchen,"Unser ""Uriges Roggenkrüstchen"" entführt Sie in die Tiefen traditioneller Backkunst! Mit seiner rustikalen Kruste und dem intensiven Roggengeschmack erleben Sie ein unvergleichliches Geschmackserlebnis. Perfekt für alle, die das Echte und Ursprüngliche lieben!"
3,Wolkenweiches Brötchen,"Lassen Sie sich von unserem ""Wolkenweichen Brötchen"" in den siebten Himmel entführen! Dieses zarte Brötchen, weich wie eine Wolke, schmilzt förmlich auf der Zunge und verzaubert mit seinem fluffigen Inneren. Ein Hochgenuss für alle, die Leichtigkeit und Geschmack vereinen wollen!"
4,Saatenwunder,"Entdecken Sie die Kraft der Natur mit unserem ""Saatenwunder""! Dieses Brötchen ist ein wahres Kraftpaket, gefüllt mit einer Vielfalt an nährstoffreichen Samen. Jeder Bissen steckt voller Energie und Geschmack – ein Muss für jeden, der Wert auf gesunde Ernährung legt!"
5,Kerniges Körnerkissen,"Unser ""Kerniges Körnerkissen"" ist ein echtes Geschmackserlebnis! Mit einer Fülle an knackigen Körnern und einer soften Textur ist es der ideale Begleiter für Ihr Frühstück oder als Snack zwischendurch. Biss für Biss ein Genuss, der Sie stärkt und verwöhnt!"
6,Knusperkrone,"Setzen Sie sich die ""Knusperkrone"" auf und regieren Sie Ihren Frühstückstisch! Mit seiner perfekten Kruste und dem unvergleichlich knusprigen Biss wird dieses Brötchen zum Highlight jedes Frühstücks. Ein wahrhaft königlicher Genuss für alle Knusperfans!"
7,Kornkönig,"Krönen Sie Ihren Tag mit unserem ""Kornkönig""! Dieses majestätische Brot, reich an wertvollen Körnern, bietet Ihnen einen unvergleichlich nussigen Geschmack und eine wunderbar knusprige Kruste. Ein wahrer König unter den Broten, der jeden Gaumen erobert!"
8,Mohnzauber,"Lassen Sie sich von unserem ""Mohnzauber"" verzaubern! Mit seinem reichen Mohnbelag und der zarten Krume ist dieses Brötchen ein magisches Geschmackserlebnis. Jeder Bissen entführt Sie in eine Welt voller Genuss und Freude!"
9,Urkruste,"Erleben Sie die Kraft der Tradition mit unserer ""Urkruste""! Dieses Brot, mit seiner robusten Kruste und dem tiefen, herzhaften Geschmack, erinnert an längst vergangene Zeiten. Ein echtes Stück Handwerkskunst, das jeden Bissen zu einer Reise in die Vergangenheit macht!"
10,Butterflocke,"Gönnen Sie sich den himmlischen Genuss unserer ""Butterflocke""! Dieses zarte, buttrige Croissant zerfließt förmlich auf der Zunge und bringt Ihnen den Luxus französischer Backkunst nach Hause. Perfekt für einen eleganten Start in den Tag!"
11,Steinofen-Schatz,"Entdecken Sie den ""Steinofen-Schatz"" und erleben Sie den unvergleichlichen Geschmack traditioneller Backkunst! Mit seiner dicken Kruste und dem saftigen Inneren ist dieses Brot ein wahres Meisterwerk. Ein Schatz, der jeden Bissen kostbar macht!"
12,Krustenstange,"Erleben Sie den einzigartigen Genuss unserer ""Krustenstange""! Diese lange, knusprige Delikatesse ist perfekt für jeden Anlass – ob zum Frühstück oder als Begleiter zu Ihrer Lieblingsspeise. Jeder Bissen ist ein knuspriges Vergnügen!"
13,Leopardenbrötchen,"Lassen Sie sich von unserem ""Leopardenbrötchen"" begeistern! Mit seinem einzigartigen Muster und dem weichen Inneren ist dieses Brötchen nicht nur ein Blickfang, sondern auch ein Geschmackserlebnis. Ein Hauch von Exotik für Ihren Frühstückstisch!"
14,Sonnenkernbrot,"Genießen Sie die Energie der Sonne mit unserem ""Sonnenkernbrot""! Reich an Sonnenblumenkernen und vollgepackt mit nussigem Geschmack, ist dieses Brot der perfekte Begleiter für jeden Tag. Ein Biss und Sie spüren die Kraft der Natur!"
15,Schokoschatz,"Tauchen Sie ein in die süße Verführung unseres ""Schokoschatzes""! Diese Köstlichkeit, gefüllt mit zartschmelzender Schokolade, lässt jedes Herz höher schlagen. Ein wahres Schatzkästchen des Genusses, das Ihre Sinne verwöhnt!"
